Name,Type,Quantity,Total price in Euro,Link
ESP32-S3-WROOM-1 N16,Microcontroller,1,6.07,https://de.aliexpress.com/item/1005006191820262.html?spm=a2g0o.cart.0.0.63814ae4V4y5uZ&mp=1&pdp_npi=6%40dis%21EUR%21EUR+6.07%21EUR+5.79%21%21EUR+5.79%21%21%21%4021038c6f17844619341376435e14bd%2112000036204920309%21ct%21DE%216411834960%21%211%210%21&gatewayAdapt=glo2deu
IP5306,Charging IC,1,1.15,https://de.aliexpress.com/item/1005012267114327.html?spm=a2g0o.cart.0.0.63814ae4V4y5uZ&mp=1&pdp_npi=6%40dis%21EUR%21EUR+1.16%21EUR+1.15%21%21EUR+1.15%21%21%21%4021038c6f17844619369376499e14bd%2112000057908183504%21ct%21DE%216411834960%21%211%210%21&gatewayAdapt=glo2deu
ES8311 ,Audio encoder IC,1,3.79,https://de.aliexpress.com/item/1005011809463921.html?spm=a2g0o.cart.0.0.63814ae4V4y5uZ&mp=1&pdp_npi=6%40dis%21EUR%21EUR+3.79%21EUR+3.79%21%21EUR+3.79%21%21%21%4021038c6f17844619369376499e14bd%2112000056638041574%21ct%21DE%216411834960%21%211%210%21&gatewayAdapt=glo2deu
TCA8418RTWR,Switch matrix scanning IC,1,1.85,https://de.aliexpress.com/item/1005008143876123.html?spm=a2g0o.cart.0.0.63814ae4V4y5uZ&mp=1&pdp_npi=6%40dis%21EUR%21EUR+2.06%21EUR+1.85%21%21EUR+1.85%21%21%21%4021038c6f17844619369376499e14bd%2112000043974522297%21ct%21DE%216411834960%21%211%210%21&gatewayAdapt=glo2deu
Tactile switches,Power/Boot/etc. switch,3,9.19,https://de.aliexpress.com/item/32865593815.html?spm=a2g0o.cart.0.0.63814ae4V4y5uZ&mp=1&pdp_npi=6%40dis%21EUR%21EUR+9.67%21EUR+9.19%21%21EUR+9.19%21%21%21%4021038c6f17844619341376435e14bd%2165530600195%21ct%21DE%216411834960%21%211%210%21&gatewayAdapt=glo2deu
CMA-4544PF-W,Microphone,1,8.29,https://de.aliexpress.com/item/1005009251734269.html?spm=a2g0o.cart.0.0.63814ae4V4y5uZ&mp=1&pdp_npi=6%40dis%21EUR%21EUR+8.29%21EUR+8.29%21%21EUR+8.29%21%21%21%4021038c6f17844619341376435e14bd%2112000048480493739%21ct%21DE%216411834960%21%211%210%21&gatewayAdapt=glo2deu
2000 mAh 3.7V LiPo Battery,Battery,1,10.79,https://de.aliexpress.com/item/1005005984841109.html?spm=a2g0o.cart.0.0.63814ae4V4y5uZ&mp=1&pdp_npi=6%40dis%21EUR%21EUR+17.98%21EUR+10.79%21%21EUR+10.79%21%21%21%4021038c6f17844619341376435e14bd%2112000036880786075%21ct%21DE%216411834960%21%211%210%21&gatewayAdapt=glo2deu
ILI9341,Display,1,6.19,https://de.aliexpress.com/item/33015586094.html?spm=a2g0o.cart.0.0.63814ae4V4y5uZ&mp=1&pdp_npi=6%40dis%21EUR%21EUR+8.25%21EUR+6.19%21%21EUR+6.19%21%21%21%4021038c6f17844619341376435e14bd%2112000026583382492%21ct%21DE%216411834960%21%211%210%21&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D&gatewayAdapt=glo2deu
Kailh extreme low profile keycaps,Keycaps,32,39.79,https://de.aliexpress.com/item/33015586094.html?spm=a2g0o.cart.0.0.63814ae4V4y5uZ&mp=1&pdp_npi=6%40dis%21EUR%21EUR+8.25%21EUR+6.19%21%21EUR+6.19%21%21%21%4021038c6f17844619341376435e14bd%2112000026583382492%21ct%21DE%216411834960%21%211%210%21&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D&gatewayAdapt=glo2deu
USB-C 2.0 receptacle 16 pin,USB-C port,1,2.09,https://de.aliexpress.com/item/1005006353547160.html?spm=a2g0o.cart.0.0.63814ae4V4y5uZ&mp=1&pdp_npi=6%40dis%21EUR%21EUR+2.15%21EUR+2.09%21%21EUR+2.09%21%21%21%4021038c6f17844619341376435e14bd%2112000041186006182%21ct%21DE%216411834960%21%211%210%21&gatewayAdapt=glo2deu
IN4148,Diode,32,1.05,https://de.aliexpress.com/item/1005006208000285.html?spm=a2g0o.cart.0.0.63814ae4V4y5uZ&mp=1&pdp_npi=6%40dis%21EUR%21EUR+1.05%21EUR+1.05%21%21EUR+1.05%21%21%21%4021038c6f17844619341376435e14bd%2112000039153703488%21ct%21DE%216411834960%21%211%210%21&gatewayAdapt=glo2deu
Kailh choc v1 brown switches,Keyboard switches,32,26.79,https://de.aliexpress.com/item/1005011812362132.html?spm=a2g0o.cart.0.0.63814ae4V4y5uZ&mp=1&pdp_npi=6%40dis%21EUR%21EUR+28.88%21EUR+26.79%21%21EUR+26.79%21%21%21%4021038c6f17844619341376435e14bd%2112000056648742497%21ct%21DE%216411834960%21%211%210%21&gatewayAdapt=glo2deu
